reponame,git_provider,url,credential
master,bitbucket,https://bitbucket.org/transbnk/transbnk_master.git,bitbucket-creds
lms,bitbucket,https://bitbucket.org/transbnk/transbnk_lms.git,bitbucket-creds
bank-integration-java,bitbucket,https://bitbucket.org/transbnk/bank_integration_java.git,bitbucket-creds
payout,bitbucket,https://bitbucket.org/transbnk/transbnk_payout.git,bitbucket-creds
payout-integration,bitbucket,https://bitbucket.org/transbnk/transbnk_payout_integration.git,bitbucket-creds
account-validation,bitbucket,https://bitbucket.org/transbnk/transbnk_account_validation.git,bitbucket-creds
account-validation-integration,bitbucket,https://bitbucket.org/transbnk/transbnk_account_validation_integration.git,bitbucket-creds
registration,bitbucket,https://bitbucket.org/transbnk/transbnk_registration.git,bitbucket-creds
dlc,bitbucket,https://bitbucket.org/transbnk/transbnk_dlc.git,bitbucket-creds
virtual-account-integration,bitbucket,https://bitbucket.org/transbnk/transbnk_virtual_account_integration.git,bitbucket-creds
download-center,bitbucket,https://bitbucket.org/transbnk/transbnk_download_center.git,bitbucket-creds
notification,bitbucket,https://bitbucket.org/transbnk/transbnk_notification.git,bitbucket-creds
audit,bitbucket,https://bitbucket.org/transbnk/transbnk_audit.git,bitbucket-creds
mfa,bitbucket,https://bitbucket.org/transbnk/transbnk_mfa.git,bitbucket-creds
nach,bitbucket,https://bitbucket.org/transbnk/transbnk_nach.git,bitbucket-creds
upi-autopay,bitbucket,https://bitbucket.org/transbnk/transbnk_upi_autopay.git,bitbucket-creds
payment-gateway,bitbucket,https://bitbucket.org/transbnk/transbnk_payment_gateway.git,bitbucket-creds
payment-gateway-integration,bitbucket,https://bitbucket.org/transbnk/transbnk_payment_gateway_integration.git,bitbucket-creds
communication,bitbucket,https://bitbucket.org/transbnk/transbnk_communication.git,bitbucket-creds
analytics-mis,bitbucket,https://bitbucket.org/transbnk/transbnk_analytics_mis.git,bitbucket-creds
econtract-migration,bitbucket,https://bitbucket.org/transbnk/econtract_migration.git,bitbucket-creds
trustee-integration,bitbucket,https://bitbucket.org/transbnk/transbnk_trustee_integration.git,bitbucket-creds
connected-banking-integration,bitbucket,https://bitbucket.org/transbnk/transbnk_connected_banking_integration.git,bitbucket-creds